chrom	start	end	name	strand	count_m	count_valid_m	percent_m
chr1	55814	56305	.	.	1053	2074	50.771458
chr1	376992	377053	.	.	1519	3112	48.811054
chr1	377235	377279	.	.	1365	2896	47.13398
chr1	377294	377314	.	.	1228	2491	49.29747
chr1	619864	620545	.	.	2207	3832	57.59395
chr1	898806	898902	.	.	2495	4598	54.262722
chr1	898949	899049	.	.	2059	3797	54.22702
chr1	936204	936226	.	.	1689	3059	55.214127
chr1	1011637	1011683	.	.	1388	2910	47.697594
chr1	1013906	1013997	.	.	1904	3593	52.99193
chr1	1060436	1060506	.	.	1850	3263	56.69629
chr1	1060779	1060821	.	.	2017	3872	52.091946
chr1	1078405	1078676	.	.	3949	6313	62.55346
chr1	1078705	1078826	.	.	1551	2821	54.980503
chr1	1117246	1117347	.	.	1861	3257	57.138474
chr1	1182238	1182277	.	.	1598	3121	51.20154
chr1	1237798	1237867	.	.	1778	3033	58.621822
chr1	1251215	1251329	.	.	2560	4608	55.555557
chr1	1361821	1362042	.	.	2064	3787	54.502243
chr1	1430832	1430894	.	.	2147	3725	57.637585
chr1	1438165	1438407	.	.	2493	4295	58.044235
chr1	1586036	1586098	.	.	2140	3609	59.296204
chr1	1633697	1633773	.	.	3373	6060	55.660065
chr1	1699777	1699828	.	.	2240	4045	55.377007
chr1	1758882	1758974	.	.	2545	4561	55.799168
chr1	1764671	1764773	.	.	2243	3787	59.22894
chr1	1928102	1928349	.	.	3186	5695	55.94381
chr1	2025612	2025883	.	.	11081	21254	52.13607
chr1	2132566	2132721	.	.	2790	4898	56.962025
chr1	2174773	2174961	.	.	4282	7687	55.704437
chr1	2190136	2190226	.	.	2613	4970	52.57545
chr1	2205885	2205957	.	.	1906	3295	57.845222
chr1	2230446	2230507	.	.	1971	3503	56.266056
chr1	2230891	2230953	.	.	2177	3696	58.901512
chr1	2289493	2289652	.	.	2348	4005	58.626717
chr1	2314283	2314321	.	.	1800	3190	56.426334
chr1	2463463	2463556	.	.	1841	3810	48.32021
chr1	2470500	2470561	.	.	1807	3311	54.575657
chr1	2554166	2554283	.	.	1658	3358	49.374626
